departamento;municipio;circuito;establecimiento;mesa;electores;paso_saenz;paso_fdt_leavy;paso_fdt_isa;paso_olmedo;paso_fit_villegas;paso_fit_gil;paso_fit_lopez;paso_fernandez;grales_saenz;grales_fdt_leavy;grales_olmedo;grales_fit_lopez;grales_fernandez
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1001;332;123;13;8;35;2;0;9;1;139;19;31;13;2
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1002;332;119;27;16;33;4;3;6;4;155;31;31;7;4
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1003;331;128;22;13;38;1;3;2;1;140;30;37;7;2
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1004;330;104;35;14;42;0;1;4;4;134;28;32;4;3
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1005;331;111;26;16;42;1;3;10;6;127;30;34;15;8
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1006;331;123;26;13;45;1;1;5;1;144;19;46;10;1
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1007;331;117;18;8;41;0;2;7;5;137;25;32;6;6
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1008;331;114;24;12;43;0;6;7;2;146;22;33;8;5
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1009;331;123;30;19;33;0;4;1;2;148;32;28;6;7
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1010;331;116;22;17;33;1;4;4;3;156;25;29;5;3
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1011;331;127;16;10;50;0;3;3;4;153;20;35;9;6
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1012;331;103;22;17;34;3;2;7;6;141;25;28;11;7
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1013;330;134;18;11;38;1;3;2;6;153;17;36;5;8
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1014;330;113;23;17;46;1;3;5;1;142;24;44;3;2
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1015;330;129;18;9;32;1;2;1;2;170;16;26;5;3
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1016;334;123;15;13;40;1;5;4;3;137;17;38;7;5
CAPITAL;SALTA;1B;ESCUELA Nº 4007 GRAL. MARTÍN M. DE GÜEMES;1017;338;102;11;13;33;0;0;4;2;128;18;29;4;2
CAPITAL;SALTA;1B;ESCUELA Nº 4007 GRAL. MARTÍN M. DE GÜEMES;1018;337;114;13;13;40;2;3;5;1;130;12;37;3;5
CAPITAL;SALTA;1B;ESCUELA Nº 4007 GRAL. MARTÍN M. DE GÜEMES;1019;337;102;19;10;45;1;2;3;0;144;18;31;4;1
CAPITAL;SALTA;1B;ESCUELA Nº 4007 GRAL. MARTÍN M. DE GÜEMES;1020;337;89;20;14;30;1;3;4;2;119;15;24;2;4
CAPITAL;SALTA;1B;ESCUELA Nº 4007 GRAL. MARTÍN M. DE GÜEMES;1021;336;119;13;15;37;0;2;4;5;149;16;27;5;5
CAPITAL;SALTA;1B;ESCUELA Nº 4007 GRAL. MARTÍN M. DE GÜEMES;1022;337;111;11;13;40;0;3;3;1;131;7;28;10;3
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1023;325;118;11;12;39;2;4;3;2;129;16;25;6;4
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1024;324;108;12;20;42;1;1;4;4;134;20;29;2;8
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1025;324;114;11;9;51;1;0;4;1;165;13;28;4;5
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1026;326;129;19;8;41;1;1;2;1;159;19;25;3;6
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1027;325;90;14;14;48;0;1;8;1;126;19;27;7;1
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1028;326;97;18;15;49;4;2;5;2;130;23;40;12;0
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1029;325;96;19;14;34;0;2;3;1;130;25;38;5;1
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1030;325;103;13;10;37;1;2;1;0;132;13;29;3;2
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1031;325;93;9;22;35;1;2;5;1;122;19;26;4;2
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1032;324;123;19;18;40;1;1;3;2;140;24;45;3;3
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1033;322;101;21;11;44;0;1;3;4;135;22;34;4;3
CAPITAL;SALTA;1C;ESCUELA Nº 4020 GRAL. JUSTO JOSE DE URQUIZA;1034;360;115;10;13;39;0;4;4;2;128;20;33;7;1
CAPITAL;SALTA;1D;ESCUELA Nº 4016 MAESTRA JACOBA SARAVIA;1035;347;100;21;18;55;2;2;7;3;131;21;45;14;4
CAPITAL;SALTA;1D;ESCUELA Nº 4016 MAESTRA JACOBA SARAVIA;1036;347;128;16;11;36;1;2;3;2;150;16;32;4;3
CAPITAL;SALTA;1D;ESCUELA Nº 4016 MAESTRA JACOBA SARAVIA;1037;345;117;17;17;39;1;1;3;0;136;18;46;4;4
CAPITAL;SALTA;1D;ESCUELA Nº 4016 MAESTRA JACOBA SARAVIA;1038;346;126;24;14;32;2;1;3;2;164;15;34;6;6
CAPITAL;SALTA;1D;ESCUELA Nº 4016 MAESTRA JACOBA SARAVIA;1039;346;114;31;18;39;2;3;6;3;150;31;36;4;5
CAPITAL;SALTA;1D;ESCUELA Nº 4016 MAESTRA JACOBA SARAVIA;1040;346;117;13;20;45;0;3;1;2;163;12;34;5;3
CAPITAL;SALTA;1D;ESCUELA Nº 4016 MAESTRA JACOBA SARAVIA;1041;347;108;22;14;54;1;3;2;1;144;23;43;2;1
CAPITAL;SALTA;1D;ESCUELA Nº 4016 MAESTRA JACOBA SARAVIA;1042;346;123;17;17;56;1;2;2;2;142;22;43;1;3
CAPITAL;SALTA;1D;ESCUELA Nº 4016 MAESTRA JACOBA SARAVIA;1043;346;108;32;15;37;3;2;7;2;125;31;40;5;8
CAPITAL;SALTA;1D;ESCUELA Nº 4016 MAESTRA JACOBA SARAVIA;1044;346;109;20;15;49;0;3;3;3;131;20;35;7;3
CAPITAL;SALTA;1D;ESCUELA Nº 4016 MAESTRA JACOBA SARAVIA;1045;349;124;23;13;39;0;2;2;2;142;29;39;4;4
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1046;330;121;16;25;43;1;2;7;4;151;26;35;8;1
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1047;329;113;29;19;34;1;3;4;4;136;28;42;9;6
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1048;329;115;20;27;40;2;5;8;3;150;22;37;11;7
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1049;328;102;19;20;40;1;1;7;4;135;26;35;8;5
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1050;329;110;23;16;31;1;2;7;2;127;28;28;11;3
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1051;329;98;24;36;32;2;3;1;2;137;26;30;9;8
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1052;329;117;22;17;44;1;3;4;6;135;36;36;8;5
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1053;328;98;27;16;38;0;7;5;7;130;28;32;16;7
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1054;328;107;26;17;39;0;7;2;4;148;32;28;2;2
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1055;328;117;23;15;35;0;3;4;5;135;28;29;14;3
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1056;328;113;19;16;32;0;1;3;8;135;26;28;4;8
CAPITAL;SALTA;1E;ESCUELA NORMAL Nº 4703;1057;331;90;24;14;40;5;3;9;6;134;28;30;12;6
CAPITAL;SALTA;1F;COLEGIO Nº 5028 REYES CATOLICOS;1058;349;116;25;17;47;0;1;6;1;162;26;39;3;2
CAPITAL;SALTA;1F;COLEGIO Nº 5028 REYES CATOLICOS;1059;349;131;13;13;48;1;2;4;0;156;15;40;6;1
CAPITAL;SALTA;1F;COLEGIO Nº 5028 REYES CATOLICOS;1060;348;115;20;26;42;2;2;6;2;166;23;39;8;8
CAPITAL;SALTA;1F;COLEGIO Nº 5028 REYES CATOLICOS;1061;348;114;14;15;54;0;3;6;2;154;11;48;9;7
CAPITAL;SALTA;1F;COLEGIO Nº 5028 REYES CATOLICOS;1062;347;138;13;17;47;0;2;2;5;174;11;47;6;2
CAPITAL;SALTA;1F;COLEGIO Nº 5028 REYES CATOLICOS;1063;349;150;10;19;52;2;2;3;1;170;13;49;2;3
CAPITAL;SALTA;1F;COLEGIO Nº 5028 REYES CATOLICOS;1064;348;126;28;12;51;2;3;4;2;163;18;38;12;1
CAPITAL;SALTA;1F;COLEGIO Nº 5028 REYES CATOLICOS;1065;349;138;23;8;41;2;3;4;0;162;19;35;9;2
CAPITAL;SALTA;1F;COLEGIO Nº 5028 REYES CATOLICOS;1066;350;125;28;10;53;0;2;9;5;158;27;39;8;5
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1067;350;126;21;13;47;0;3;4;5;151;27;45;7;6
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1068;349;128;24;16;36;2;5;4;5;160;32;34;10;7
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1069;348;119;19;19;44;1;4;4;3;155;18;38;5;4
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1070;349;144;20;20;37;1;2;4;1;173;25;38;11;0
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1071;348;114;16;25;46;0;2;6;1;136;21;46;6;5
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1072;348;142;13;15;36;3;4;8;0;167;17;33;13;2
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1073;348;122;16;10;53;0;1;5;6;147;15;38;4;2
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1074;348;133;15;16;33;0;1;10;5;163;21;29;6;5
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1075;348;156;19;12;37;0;2;7;4;174;15;32;7;2
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1076;347;107;29;19;51;2;3;6;3;141;16;40;9;4
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1077;348;140;21;12;41;2;3;5;4;164;20;32;9;2
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1078;348;123;15;13;40;2;1;11;6;157;20;34;9;4
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1079;347;128;16;19;54;2;3;8;3;158;23;45;12;5
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1080;348;108;22;13;53;2;3;5;2;127;27;45;7;3
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1081;348;137;23;13;35;1;3;3;6;147;32;37;9;4
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1082;348;113;35;13;58;1;2;6;5;157;34;41;8;3
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1083;349;129;21;11;40;1;3;6;1;169;26;30;5;2
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1084;351;111;22;14;48;1;1;4;4;153;22;47;11;1
CAPITAL;SALTA;1G;ESCUELA Nº 4021 20 DE FEBRERO DE 1813;1085;345;145;23;5;46;2;2;7;0;164;24;44;7;3
CAPITAL;SALTA;1G;ESCUELA Nº 4021 20 DE FEBRERO DE 1813;1086;346;145;17;12;48;1;4;9;1;155;25;38;12;1
CAPITAL;SALTA;1G;ESCUELA Nº 4021 20 DE FEBRERO DE 1813;1087;345;124;20;15;53;2;3;6;7;165;20;38;4;6
CAPITAL;SALTA;1G;ESCUELA Nº 4021 20 DE FEBRERO DE 1813;1088;346;114;27;18;39;2;5;7;2;137;33;37;10;4
CAPITAL;SALTA;1G;ESCUELA Nº 4021 20 DE FEBRERO DE 1813;1089;345;141;17;8;34;2;5;5;4;160;24;30;7;6
CAPITAL;SALTA;1G;ESCUELA Nº 4021 20 DE FEBRERO DE 1813;1090;346;144;16;13;41;2;4;10;5;162;26;36;18;3
CAPITAL;SALTA;1G;ESCUELA Nº 4021 20 DE FEBRERO DE 1813;1091;344;150;16;20;39;1;1;5;2;180;13;40;4;6
CAPITAL;SALTA;1G;ESCUELA Nº 4021 20 DE FEBRERO DE 1813;1092;343;125;25;13;49;3;2;6;4;150;24;31;10;7
CAPITAL;SALTA;1G;ESCUELA Nº 4021 20 DE FEBRERO DE 1813;1093;346;119;23;11;42;2;5;6;2;136;23;46;14;4
CAPITAL;SALTA;1G;ESCUELA Nº 4021 20 DE FEBRERO DE 1813;1094;346;111;22;13;55;1;2;3;0;164;21;40;6;1
CAPITAL;SALTA;1G;ESCUELA Nº 4021 20 DE FEBRERO DE 1813;1095;345;124;24;19;36;2;4;3;7;149;31;30;10;3
CAPITAL;SALTA;1G;ESCUELA Nº 4021 20 DE FEBRERO DE 1813;1096;347;142;23;19;35;5;1;9;4;168;19;32;13;2
CAPITAL;SALTA;1G;ESCUELA Nº 4027 DR. BENJAMIN DAVALOS Y AVILES;1097;345;140;26;11;41;0;2;7;1;157;29;37;4;5
CAPITAL;SALTA;1G;ESCUELA Nº 4027 DR. BENJAMIN DAVALOS Y AVILES;1098;344;138;24;18;43;0;1;3;1;167;21;41;6;1
CAPITAL;SALTA;1G;ESCUELA Nº 4027 DR. BENJAMIN DAVALOS Y AVILES;1099;345;121;26;16;41;4;0;4;3;141;30;46;6;2
CAPITAL;SALTA;1G;ESCUELA Nº 4027 DR. BENJAMIN DAVALOS Y AVILES;1100;345;147;14;11;40;1;1;9;1;160;7;50;7;7
CAPITAL;SALTA;1G;ESCUELA Nº 4027 DR. BENJAMIN DAVALOS Y AVILES;1101;342;127;20;12;45;2;6;3;3;139;19;48;12;1
CAPITAL;SALTA;1G;ESCUELA Nº 4027 DR. BENJAMIN DAVALOS Y AVILES;1102;345;106;33;14;36;1;3;8;5;126;32;40;12;4
CAPITAL;SALTA;1G;ESCUELA Nº 4027 DR. BENJAMIN DAVALOS Y AVILES;1103;344;138;25;12;29;1;4;7;3;160;21;32;12;9
CAPITAL;SALTA;1G;ESCUELA Nº 4027 DR. BENJAMIN DAVALOS Y AVILES;1104;342;134;16;12;45;2;2;12;2;166;22;24;8;2
CAPITAL;SALTA;1G;ESCUELA Nº 4027 DR. BENJAMIN DAVALOS Y AVILES;1105;344;127;33;13;33;2;3;3;4;150;31;36;4;4
CAPITAL;SALTA;1G;ESCUELA Nº 4027 DR. BENJAMIN DAVALOS Y AVILES;1106;345;140;30;2;61;3;0;8;0;158;23;52;8;1
CAPITAL;SALTA;2A;E.E.T. Nº 3139 GRAL. MARTIN M. DE GÜEMES;1107;345;143;14;23;45;2;1;5;2;166;23;43;11;2
CAPITAL;SALTA;2A;E.E.T. Nº 3139 GRAL. MARTIN M. DE GÜEMES;1108;346;135;29;12;38;2;3;2;4;163;26;42;5;5
CAPITAL;SALTA;2A;E.E.T. Nº 3139 GRAL. MARTIN M. DE GÜEMES;1109;343;130;17;20;38;2;3;5;4;147;30;42;7;5
CAPITAL;SALTA;2A;E.E.T. Nº 3139 GRAL. MARTIN M. DE GÜEMES;1110;346;124;26;23;35;0;3;5;0;149;28;34;8;4
CAPITAL;SALTA;2A;E.E.T. Nº 3139 GRAL. MARTIN M. DE GÜEMES;1111;350;136;24;19;38;1;1;7;8;165;23;34;11;7
CAPITAL;SALTA;2A;ESCUELA Nº 4002 MARIANO CABEZON;1112;346;125;23;19;54;3;2;7;1;161;28;41;11;2
CAPITAL;SALTA;2A;ESCUELA Nº 4002 MARIANO CABEZON;1113;346;127;25;13;36;4;3;7;5;158;27;30;6;7
CAPITAL;SALTA;2A;ESCUELA Nº 4002 MARIANO CABEZON;1114;346;125;22;10;64;2;3;9;0;157;25;47;6;2
CAPITAL;SALTA;2A;ESCUELA Nº 4002 MARIANO CABEZON;1115;346;139;21;3;45;2;3;3;2;152;24;48;6;5
CAPITAL;SALTA;2A;ESCUELA Nº 4002 MARIANO CABEZON;1116;345;143;29;15;44;3;1;1;2;180;30;37;4;3
CAPITAL;SALTA;2A;ESCUELA Nº 4002 MARIANO CABEZON;1117;346;120;27;20;56;1;5;6;2;159;32;39;11;3
CAPITAL;SALTA;2A;ESCUELA Nº 4002 MARIANO CABEZON;1118;346;141;17;19;40;1;6;5;1;157;27;37;7;1
CAPITAL;SALTA;2A;ESCUELA Nº 4002 MARIANO CABEZON;1119;346;158;26;16;34;1;3;3;4;167;31;34;11;9
CAPITAL;SALTA;2A;ESCUELA Nº 4002 MARIANO CABEZON;1120;344;127;25;18;36;0;6;4;1;148;34;33;8;5
CAPITAL;SALTA;2A;ESCUELA Nº 4002 MARIANO CABEZON;1121;345;147;18;13;44;0;3;5;2;184;18;41;8;10
CAPITAL;SALTA;2A;ESCUELA Nº 4002 MARIANO CABEZON;1122;346;116;35;15;42;2;3;5;1;137;38;38;11;5
CAPITAL;SALTA;2A;ESCUELA Nº 4002 MARIANO CABEZON;1123;345;139;28;17;40;1;2;4;0;158;34;38;6;4
CAPITAL;SALTA;2A;ESCUELA Nº 4002 MARIANO CABEZON;1124;345;124;29;18;35;1;3;7;2;145;31;42;7;3
CAPITAL;SALTA;2A;ESCUELA Nº 4002 MARIANO CABEZON;1125;346;117;35;19;35;3;7;7;3;144;36;35;13;5
CAPITAL;SALTA;2A;ESCUELA Nº 4002 MARIANO CABEZON;1126;345;121;25;21;46;1;7;3;3;147;30;47;6;5
CAPITAL;SALTA;2A;ESCUELA Nº 4002 MARIANO CABEZON;1127;349;117;30;13;39;2;4;7;2;138;25;35;8;3
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1128;336;86;27;18;39;0;4;10;7;108;27;37;10;11
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1129;336;108;26;14;38;1;3;8;4;119;27;44;7;4
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1130;336;101;20;7;35;3;1;3;7;128;15;32;5;4
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1131;336;105;20;23;34;3;5;8;3;140;21;35;10;2
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1132;336;127;21;18;35;2;1;5;3;153;24;34;8;7
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1133;335;135;17;16;27;0;2;11;2;153;27;29;10;3
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1134;336;113;17;12;42;0;1;5;1;136;20;42;3;1
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1135;335;111;24;25;48;3;2;5;4;123;29;52;16;4
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1136;336;119;18;20;35;1;3;3;2;132;23;32;4;4
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1137;335;105;34;15;33;1;4;6;3;132;36;24;6;3
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1138;335;112;25;12;38;1;1;4;8;136;38;26;4;5
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1139;335;112;34;13;32;3;4;6;6;135;33;34;14;8
CAPITAL;SALTA;2B;ESCUELA Nº 4001 JUAN BAUTISTA ALBERDI;1140;340;115;29;9;49;3;2;7;3;142;25;34;7;3
CAPITAL;SALTA;2C;COLEGIO SECUNDARIO Nº 5080 DR. MANUEL A. CASTRO;1141;337;121;17;19;40;2;0;2;2;161;18;20;6;2
CAPITAL;SALTA;2C;COLEGIO SECUNDARIO Nº 5080 DR. MANUEL A. CASTRO;1142;336;103;21;12;37;2;5;3;1;134;21;32;4;2
CAPITAL;SALTA;2C;COLEGIO SECUNDARIO Nº 5080 DR. MANUEL A. CASTRO;1143;336;109;24;11;44;0;3;2;4;128;27;36;4;5
CAPITAL;SALTA;2C;COLEGIO SECUNDARIO Nº 5080 DR. MANUEL A. CASTRO;1144;335;108;15;14;32;0;3;5;6;135;16;29;5;6
CAPITAL;SALTA;2C;COLEGIO SECUNDARIO Nº 5080 DR. MANUEL A. CASTRO;1145;336;107;25;15;25;2;0;5;3;127;31;23;6;8
CAPITAL;SALTA;2C;COLEGIO SECUNDARIO Nº 5080 DR. MANUEL A. CASTRO;1146;334;100;23;14;35;1;1;6;3;125;22;29;12;1
CAPITAL;SALTA;2C;COLEGIO SECUNDARIO Nº 5080 DR. MANUEL A. CASTRO;1147;332;114;18;16;39;0;2;0;1;131;19;42;3;2
CAPITAL;SALTA;2C;COLEGIO SECUNDARIO Nº 5080 DR. MANUEL A. CASTRO;1148;335;106;25;20;28;0;2;4;7;139;23;29;3;6
CAPITAL;SALTA;2C;COLEGIO SECUNDARIO Nº 5080 DR. MANUEL A. CASTRO;1149;333;92;25;19;33;1;4;3;3;123;28;29;6;4
CAPITAL;SALTA;2C;COLEGIO SECUNDARIO Nº 5080 DR. MANUEL A. CASTRO;1150;335;113;20;16;37;0;2;4;1;148;16;29;7;4
CAPITAL;SALTA;2C;COLEGIO SECUNDARIO Nº 5080 DR. MANUEL A. CASTRO;1151;336;132;9;10;30;1;3;6;4;142;17;20;4;5
CAPITAL;SALTA;2C;COLEGIO SECUNDARIO Nº 5080 DR. MANUEL A. CASTRO;1152;332;99;25;9;35;2;2;2;2;134;18;25;4;1
CAPITAL;SALTA;2D;COLEGIO SECUNDARIO Nº 5046 JUAN CALCHAQUI;1153;341;129;34;17;41;2;0;5;5;155;40;36;14;6
CAPITAL;SALTA;2D;COLEGIO SECUNDARIO Nº 5046 JUAN CALCHAQUI;1154;341;144;23;19;32;3;3;5;5;157;32;39;6;6
CAPITAL;SALTA;2D;COLEGIO SECUNDARIO Nº 5046 JUAN CALCHAQUI;1155;341;143;27;13;59;1;3;3;2;166;25;57;6;3
CAPITAL;SALTA;2D;COLEGIO SECUNDARIO Nº 5046 JUAN CALCHAQUI;1156;340;111;39;16;42;2;3;7;6;154;35;30;11;5
CAPITAL;SALTA;2D;COLEGIO SECUNDARIO Nº 5046 JUAN CALCHAQUI;1157;341;108;35;21;48;1;9;12;4;136;37;44;10;8
CAPITAL;SALTA;2D;COLEGIO SECUNDARIO Nº 5046 JUAN CALCHAQUI;1158;341;136;21;16;51;3;2;6;4;156;25;57;12;4
CAPITAL;SALTA;2D;COLEGIO SECUNDARIO Nº 5046 JUAN CALCHAQUI;1159;344;144;33;19;38;2;1;2;4;151;38;40;9;5
CAPITAL;SALTA;2D;ESCUELA Nº 4038 ARMADA NACIONAL;1160;341;135;27;24;37;2;1;12;5;156;41;40;15;2
CAPITAL;SALTA;2D;ESCUELA Nº 4038 ARMADA NACIONAL;1161;341;153;20;10;44;1;2;2;3;187;19;31;5;2
CAPITAL;SALTA;2D;ESCUELA Nº 4038 ARMADA NACIONAL;1162;341;101;26;17;54;3;3;10;4;127;30;42;15;10
CAPITAL;SALTA;2D;ESCUELA Nº 4038 ARMADA NACIONAL;1163;341;121;25;27;56;4;4;4;4;138;34;54;13;13
CAPITAL;SALTA;2D;ESCUELA Nº 4038 ARMADA NACIONAL;1164;339;142;21;22;47;2;1;5;6;167;28;43;7;5
CAPITAL;SALTA;2D;ESCUELA Nº 4038 ARMADA NACIONAL;1165;341;116;44;24;46;2;4;8;0;153;44;37;12;0
CAPITAL;SALTA;2D;ESCUELA Nº 4038 ARMADA NACIONAL;1166;341;142;21;25;43;3;5;2;5;168;29;42;7;7
CAPITAL;SALTA;2D;ESCUELA Nº 4038 ARMADA NACIONAL;1167;340;135;33;14;43;3;2;5;3;145;36;45;10;4
CAPITAL;SALTA;2D;ESCUELA Nº 4038 ARMADA NACIONAL;1168;339;111;34;23;43;2;2;7;4;144;29;35;7;7
CAPITAL;SALTA;2D;ESCUELA Nº 4038 ARMADA NACIONAL;1169;340;130;24;25;38;3;1;4;5;154;32;37;7;8
CAPITAL;SALTA;2D;ESCUELA Nº 4644 ALTE. GUILLERMO BROWN;1170;340;130;36;25;30;3;1;8;4;163;40;39;5;1
CAPITAL;SALTA;2D;ESCUELA Nº 4644 ALTE. GUILLERMO BROWN;1171;339;132;30;14;40;1;2;6;3;157;25;46;8;2
CAPITAL;SALTA;2D;ESCUELA Nº 4644 ALTE. GUILLERMO BROWN;1172;340;146;25;16;34;1;3;8;2;169;24;43;14;3
CAPITAL;SALTA;2D;ESCUELA Nº 4644 ALTE. GUILLERMO BROWN;1173;340;120;29;23;36;2;4;3;2;146;36;35;7;2
CAPITAL;SALTA;2D;ESCUELA Nº 4644 ALTE. GUILLERMO BROWN;1174;340;119;48;14;36;2;3;8;4;137;47;37;8;3
CAPITAL;SALTA;2D;ESCUELA Nº 4644 ALTE. GUILLERMO BROWN;1175;340;128;33;23;34;3;1;5;6;158;38;25;8;8
CAPITAL;SALTA;2D;ESCUELA Nº 4644 ALTE. GUILLERMO BROWN;1176;339;140;23;8;53;1;1;2;0;152;30;44;5;3
CAPITAL;SALTA;2D;ESCUELA Nº 4644 ALTE. GUILLERMO BROWN;1177;339;134;26;16;38;2;1;8;3;160;25;34;9;1
CAPITAL;SALTA;2D;ESCUELA Nº 4644 ALTE. GUILLERMO BROWN;1178;338;139;35;20;50;3;1;3;1;170;31;54;6;3
CAPITAL;SALTA;2D;ESCUELA Nº 4644 ALTE. GUILLERMO BROWN;1179;340;135;24;28;49;2;2;5;2;153;33;44;9;3
CAPITAL;SALTA;2D;ESCUELA Nº 4644 ALTE. GUILLERMO BROWN;1180;339;124;31;17;39;6;4;10;4;148;33;42;18;3
CAPITAL;SALTA;2D;ESCUELA Nº 4644 ALTE. GUILLERMO BROWN;1181;343;119;31;17;41;6;0;6;5;142;28;48;8;5
CAPITAL;SALTA;2E;ESCUELA Nº 4315 REINO DE BELGICA;1182;295;115;22;11;32;2;4;4;1;135;17;37;9;7
