departamento;municipio;circuito;establecimiento;mesa;electores
SAN MARTIN;TARTAGAL;43A;COLEGIO Nº 8094 INSTITUTO SAN FRANCISCO;3254;347
SAN MARTIN;TARTAGAL;43A;COLEGIO Nº 8094 INSTITUTO SAN FRANCISCO;3258;347
SAN MARTIN;TARTAGAL;43A;E. E. T. Nº 3109 O. E. A.;3268;347
SAN MARTIN;TARTAGAL;43A;E. E. T. Nº 3109 O. E. A.;3270;347
SAN MARTIN;TARTAGAL;43A;E. E. T. Nº 3109 O. E. A.;3275;347
SAN MARTIN;TARTAGAL;43A;E. E. T. Nº 3135;3279;347
SAN MARTIN;TARTAGAL;43A;E. E. T. Nº 3135;3281;347
SAN MARTIN;TARTAGAL;43A;E. E. T. Nº 3135;3290;347
SAN MARTIN;TARTAGAL;43A;ESCUELA Nº 4096 CNEL. VICENTE DE URIBURU;3317;347
SAN MARTIN;TARTAGAL;43A;ESCUELA Nº 4096 CNEL. VICENTE DE URIBURU;3320;347
SAN MARTIN;TARTAGAL;43A;ESCUELA Nº 4096 CNEL. VICENTE DE URIBURU;3321;347
SAN MARTIN;TARTAGAL;43A;ESCUELA Nº 4096 CNEL. VICENTE DE URIBURU;3322;347
SAN MARTIN;TARTAGAL;43A;ESCUELA Nº 4460 GRAL. MANUEL BELGRANO;3326;347
SAN MARTIN;TARTAGAL;43A;ESCUELA Nº 4460 GRAL. MANUEL BELGRANO;3328;347
SAN MARTIN;TARTAGAL;43A;ESCUELA Nº 4460 GRAL. MANUEL BELGRANO;3329;347
SAN MARTIN;TARTAGAL;43A;ESCUELA Nº 4460 GRAL. MANUEL BELGRANO;3331;347
SAN MARTIN;TARTAGAL;43A;ESCUELA Nº 4460 GRAL. MANUEL BELGRANO;3339;347
SAN MARTIN;TARTAGAL;43A;ESCUELA Nº 4460 GRAL. MANUEL BELGRANO;3340;347
CAPITAL;SALTA;5B;ESCUELA Nº 4013 CERVANTES SAAVEDRA;1902;348
CAPITAL;SALTA;5E;ESCUELA Nº 4775 PROF. ELSA SALFITY;2008;348
ORAN;PICHANAL;36B;ESCUELA INDIGENA Nº 4738 JUAN XXIII;3077;348
ORAN;PICHANAL;36B;ESCUELA Nº 4689 ISLAS MALVINAS;3114;348
ORAN;ORAN;31B;COLEGIO SECUNDARIO Nº 5089;2910;348
ORAN;ORAN;31B;COLEGIO SECUNDARIO Nº 5089;2912;348
ORAN;ORAN;31B;ESCUELA Nº 4271 FRAY ARISTIDES A. NIBI;2959;348
SAN MARTIN;PROF. SALVADOR MAZZA;45A;ESCUELA Nº 4533 PROF. SALVADOR MAZZA;3497;348
SAN MARTIN;TARTAGAL;43A;ESCUELA DE COM. Nº 5002 ALEJANDRO AGUADO;3305;348
SAN MARTIN;TARTAGAL;43A;ESCUELA Nº 4096 CNEL. VICENTE DE URIBURU;3318;348
ANTA;EL QUEBRACHAL;25A;ESCUELA Nº 4402 GENDARMERIA NACIONAL;2660;348
ANTA;GRAL. PIZARRO;22D;ESCUELA Nº 4483 ISLAS ARGENTINAS;2596;348
ANTA;GRAL. PIZARRO;22D;ESCUELA Nº 4483 ISLAS ARGENTINAS;2597;348
ANTA;LAS LAJITAS;21A;COLEGIO SECUNDARIO Nº 5037 REPUBLICA ARGENTINA;2548;348
ANTA;LAS LAJITAS;21A;COLEGIO SECUNDARIO Nº 5037 REPUBLICA ARGENTINA;2550;348
ANTA;LAS LAJITAS;21A;ESCUELA Nº 4510 ANTARTIDA ARGENTINA;2561;348
ANTA;LAS LAJITAS;21A;ESCUELA Nº 4510 ANTARTIDA ARGENTINA;2564;348
ANTA;LAS LAJITAS;21A;ESCUELA Nº 4510 ANTARTIDA ARGENTINA;2568;348
CAPITAL;SALTA;1F;COLEGIO Nº 5028 REYES CATOLICOS;1060;348
CAPITAL;SALTA;1F;COLEGIO Nº 5028 REYES CATOLICOS;1061;348
CAPITAL;SALTA;1F;COLEGIO Nº 5028 REYES CATOLICOS;1064;348
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1069;348
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1071;348
CAPITAL;SALTA;1F;ESCUELA Nº 4643 DR. JOAQUIN CASTELLANOS;1072;348
