departamento;municipio;circuito;establecimiento;mesa;electores
R. DE LA FRONTERA;R. DE LA FRONTERA;67A;ESCUELA Nº 4127 MANUELA PEDRAZA;3818;348
R. DE LA FRONTERA;R. DE LA FRONTERA;67B;ESCUELA Nº 4705 REPUBLICA DE COLOMBIA;3820;348
R. DE LA FRONTERA;R. DE LA FRONTERA;67B;ESCUELA Nº 4705 REPUBLICA DE COLOMBIA;3825;348
R. DE LA FRONTERA;R. DE LA FRONTERA;67B;ESCUELA Nº 4705 REPUBLICA DE COLOMBIA;3831;348
R. DE LA FRONTERA;R. DE LA FRONTERA;67B;ESCUELA Nº 4705 REPUBLICA DE COLOMBIA;3832;348
R. DE LA FRONTERA;R. DE LA FRONTERA;67B;ESCUELA Nº 4705 REPUBLICA DE COLOMBIA;3836;348
R. DE LA FRONTERA;R. DE LA FRONTERA;67B;ESCUELA Nº 4705 REPUBLICA DE COLOMBIA;3837;348
R. DE LA FRONTERA;R. DE LA FRONTERA;67B;ESCUELA Nº 4705 REPUBLICA DE COLOMBIA;3839;348
R. DE LERMA;R. DE LERMA;91A;COLEGIO SECUNDARIO Nº 5073 GENOVEVA ASTIGUETA;4031;348
R. DE LERMA;R. DE LERMA;91A;COLEGIO SECUNDARIO Nº 5073 GENOVEVA ASTIGUETA;4034;348
R. DE LERMA;R. DE LERMA;91A;COLEGIO SECUNDARIO Nº 5073 GENOVEVA ASTIGUETA;4040;348
R. DE LERMA;R. DE LERMA;91A;ESCUELA Nº 4099 DR. FRANCISCO DE GURRUCHAGA;3991;348
R. DE LERMA;R. DE LERMA;91A;ESCUELA Nº 4099 DR. FRANCISCO DE GURRUCHAGA;3992;348
R. DE LERMA;R. DE LERMA;91A;ESCUELA Nº 4099 DR. FRANCISCO DE GURRUCHAGA;3993;348
R. DE LERMA;R. DE LERMA;91A;ESCUELA Nº 4099 DR. FRANCISCO DE GURRUCHAGA;3997;348
R. DE LERMA;R. DE LERMA;91A;ESCUELA Nº 4099 DR. FRANCISCO DE GURRUCHAGA;4004;348
R. DE LERMA;R. DE LERMA;91A;ESCUELA Nº 4099 DR. FRANCISCO DE GURRUCHAGA;4005;348
R. DE LERMA;R. DE LERMA;91A;ESCUELA Nº 4241 FRAGATA LIBERTAD;4006;348
R. DE LERMA;R. DE LERMA;91A;ESCUELA Nº 4808 GESTA SANMARTINIANA;4013;348
